Date,DaySum,DaySumIrr,Pac,Pdc,SolIrr,Time,TmpAmb,TmpMod,Wind,Pdc_pred,Absolute_Percent_diff
18-12-03,217900.0,3203.0,61674.0,63668.0,1089.0,09:50:00,35.0,66.0,1.0,64467.902,1.256364103522054
18-05-22,269300.0,4258.0,8934.0,9088.0,150.0,15:25:00,24.0,30.0,0.0,10060.927,10.70561731352248
18-07-21,277200.0,3798.0,55587.0,57229.0,807.0,12:25:00,25.0,39.0,0.9,53204.227,7.032749137897749
18-07-21,308400.0,4064.0,43825.0,45217.0,561.0,12:50:00,21.0,35.0,1.7,37698.77,16.62700399751489
18-06-30,349400.0,4867.0,52364.0,53605.0,741.0,14:10:00,23.0,44.0,1.6,49780.645,7.1343277897499835
18-08-31,585300.0,8093.0,3208.0,3500.0,153.0,17:25:00,21.0,27.0,0.8,10281.968,193.77051323652267
2018-03-22 00:00:00,115000.0,1587.0,24757.0,25417.0,334.0,10:05:00,27.0,42.0,1.4,22419.8,11.792103910388004
18-06-25,7000.0,110.0,19741.0,20256.0,230.0,07:25:00,12.0,18.0,1.6,15512.087,23.419792324269263
18-08-01,6300.0,73.0,20360.0,20817.0,239.0,07:10:00,11.0,15.0,0.0,16097.553,22.67112154097529
18-06-17,227800.0,3125.0,62232.0,63718.0,719.0,12:00:00,26.0,37.0,1.7,48265.188,24.251877519571682
18-08-01,26700.0,329.0,44824.0,45935.0,599.0,07:45:00,22.0,36.0,0.0,40108.344,12.68456969671726
18-08-17,267200.0,3703.0,52012.0,53286.0,797.0,12:25:00,33.0,49.0,1.9,53469.348,0.34408353629003036
18-06-22,361600.0,4797.0,2250.0,2718.0,67.0,17:00:00,21.0,23.0,1.3,4495.7896,65.4079970934533
2018-03-23 00:00:00,193400.0,3786.0,46937.0,48700.0,944.0,13:25:00,28.0,48.0,1.3,58086.715,19.274565681539762
2018-03-24 00:00:00,32000.0,502.0,19140.0,19494.0,307.0,08:25:00,25.0,34.0,1.6,20603.09,5.68939559861087
18-08-29,43600.0,623.0,37687.0,40658.0,550.0,07:55:00,19.0,32.0,3.0,36969.81,9.071256723398765
18-09-13,183300.0,2401.0,61300.0,62794.0,924.0,10:00:00,32.0,59.0,2.7,59255.383,5.6352762051037555
18-09-15,324700.0,4417.0,58404.0,59741.0,893.0,12:40:00,34.0,57.0,0.6,57909.7,3.065402842895361
18-04-21,276200.0,5273.0,8369.0,8694.0,95.0,16:15:00,26.0,30.0,1.0,6348.056,26.983482359276717
18-04-20,354600.0,5098.0,26800.0,27300.0,757.0,16:10:00,31.0,43.0,1.2,50786.18,86.02996507843773
2018-03-12 00:00:00,140100.0,2024.0,17881.0,18200.0,246.0,11:55:00,26.0,37.0,0.5,16507.152,9.301355816833274
18-04-11,157200.0,2189.0,1427.0,1429.0,16.0,16:30:00,22.0,24.0,0.8,1065.105,25.46500949654402
18-07-30,0.0,0.0,568.0,537.0,6.0,06:25:00,6.0,8.0,0.0,502.14276,6.491106063876742
18-05-26,268700.0,3897.0,12648.0,12870.0,189.0,14:55:00,25.0,31.0,0.0,12672.79,1.5323237661437208
18-11-29,6800.0,100.0,16605.0,16964.0,247.0,06:55:00,21.0,26.0,3.6,16588.46,2.2137385632063635
18-11-26,89500.0,1372.0,62529.0,64570.0,1055.0,08:35:00,32.0,59.0,1.4,62573.348,3.0922304666391236
18-06-23,140400.0,1845.0,40857.0,42143.0,873.0,10:50:00,23.0,43.0,0.8,54836.453,30.11995191078285
18-08-14,178300.0,2471.0,48072.0,49964.0,813.0,10:55:00,28.0,38.0,2.7,54466.445,9.011379729163977
18-08-28,366800.0,5148.0,18207.0,18558.0,501.0,16:15:00,23.0,39.0,2.8,33661.54,81.38559541770105
18-09-29,407900.0,5895.0,7158.0,7347.0,111.0,17:00:00,27.0,32.0,1.9,7417.781,0.9633938795987746
18-04-15,72700.0,1075.0,15336.0,15617.0,230.0,09:35:00,23.0,32.0,1.2,15446.82,1.0897083296821366
